index,Pay Grade / Step,Annual Salary,Class,Title,Current Department,Employment Status,EEO Job Category Description,Gender,Ethnic Code Description,Year of Birth,Date Started,FLSA Exempt?,County,Current_Year,Age,Age_Group,Started_Year,Year_Of_Service
5563,TG09,46077.43,10978,Utility Maintenance Tech Sr,Water Services,Fulltime,Technicians,M,Black,1989,2018-07-28,N,Davidson,2024,35,35-39,2018,6
5565,TL11,53905.95,10973,Utility Maintenance Spec 2,Water Services,Fulltime,Technicians,M,Black,1971,2018-07-28,N,Davidson,2024,53,50-54,2018,6
5566,TL11,53905.95,10973,Utility Maintenance Spec 2,Water Services,Fulltime,Technicians,M,Black,1977,2018-07-28,N,Davidson,2024,47,45-49,2018,6
5568,OR11,111373.52,7762,Special Projects Mgr,General Services,Fulltime,Officials and administrators,F,White,1985,2018-07-30,Y,Davidson,2024,39,35-39,2018,6
5570,NS,20000.0,390,Asst District Attorney,District Attorney,Fulltime,Professionals,F,White,1958,2018-08-01,N,Davidson,2024,66,65-69,2018,6
5576,OR03,62720.0,7247,Appraiser 3,Assessor of Property,Fulltime,Officials and administrators,M,White,1993,2018-08-08,N,Davidson,2024,31,30-34,2018,6
5577,OR05,69448.27,4400,Appraiser 4,Assessor of Property,Fulltime,Officials and administrators,M,Hispanic,1993,2018-08-08,N,Davidson,2024,31,30-34,2018,6
5581,ST09,55498.11,10649,Treatment Counselor,Sheriff,Fulltime,Professionals,F,White,1960,2018-08-15,N,Davidson,2024,64,60-64,2018,6
5582,FD03,67725.28,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,Two or more,1994,2018-08-16,N,Davidson,2024,30,30-34,2018,6
5590,NS,49000.0,6506,Deputy Criminal Ct Clerk 5,Criminal Court Clerk,Fulltime,Administrative support,F,Black,1979,2018-08-22,N,Davidson,2024,45,45-49,2018,6
5593,TL11,53905.95,10973,Utility Maintenance Spec 2,Water Services,Fulltime,Technicians,F,Black,1994,2018-08-25,N,Davidson,2024,30,30-34,2018,6
5596,MAC01,40435.2,10250,Teacher Asst,Metro Action Commission,Fulltime,Administrative support,M,White,1987,2018-08-27,N,Davidson,2024,37,35-39,2018,6
5597,TG12,54118.08,10838,Equipment Operator Senior,Water Services,Fulltime,Service/Maintenance,M,Black,1969,2018-08-28,N,Davidson,2024,55,55-59,2018,6
5604,MAC01,40435.2,10250,Teacher Asst,Metro Action Commission,Fulltime,Administrative support,F,White,1964,2018-09-05,N,Davidson,2024,60,60-64,2018,6
5605,TS16,81847.62,7803,Treatment Plant Shift Supv,Water Services,Fulltime,Skilled craft workers,M,White,1987,2018-09-08,N,Davidson,2024,37,35-39,2018,6
5607,MAC09A,63025.53,10219,Disabilities Coord,Metro Action Commission,Fulltime,Professionals,F,White,1987,2018-09-10,N,Davidson,2024,37,35-39,2018,6
5610,FD03B,63783.41,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,F,Black,1995,2018-09-14,N,Davidson,2024,29,25-29,2018,6
5619,NS,49743.5,6504,Deputy Criminal Ct Clerk 3,Criminal Court Clerk,Fulltime,Administrative support,M,Black,1986,2018-09-18,N,Davidson,2024,38,35-39,2018,6
5623,TG14,56821.91,6186,Treatment Plant Tech 2,Water Services,Fulltime,Skilled craft workers,M,Black,1968,2018-09-22,N,Davidson,2024,56,55-59,2018,6
5627,CO02,59443.75,6981,Correctional Officer 2,Sheriff,Fulltime,Protective service workers,M,Black,1995,2018-09-24,N,Davidson,2024,29,25-29,2018,6
5628,CO02,59443.75,6981,Correctional Officer 2,Sheriff,Fulltime,Protective service workers,F,Black,1988,2018-09-24,N,Davidson,2024,36,35-39,2018,6
5629,ST10,61301.07,11089,Sheriff Behavorial Care Supv,Sheriff,Fulltime,Protective service workers,F,Black,1980,2018-09-24,N,Davidson,2024,44,40-44,2018,6
5631,NS,98022.83,10816,Satellite position,Register of Deeds,Fulltime,Professionals,F,White,1952,2018-09-24,Y,Davidson,2024,72,70-74,2018,6
5632,ST09,60543.28,11090,Sheriff Behavioral Care Tech,Sheriff,Fulltime,Protective service workers,M,Black,1976,2018-09-24,N,Davidson,2024,48,45-49,2018,6
5635,ST07,50910.18,11023,Criminal Warrant Processor,Sheriff,Fulltime,Professionals,F,Black,1991,2018-09-24,N,Davidson,2024,33,30-34,2018,6
5636,ST09,53816.4,10750,Shift Supv-DCSO,Sheriff,Fulltime,Paraprofessionals,M,Black,1977,2018-09-24,N,Davidson,2024,47,45-49,2018,6
5641,NS,54301.0,480,Attorney 1,State Trial Courts,Fulltime,Professionals,F,White,1970,2018-10-01,Y,Davidson,2024,54,50-54,2018,6
5643,OR12,133710.71,10386,Bureau Director,Health,Fulltime,Officials and administrators,F,White,1988,2018-10-06,Y,Davidson,2024,36,35-39,2018,6
5644,ST10,65015.7,7279,Criminal Investigator,Public Defender,Fulltime,Protective service workers,M,Hispanic,1972,2018-10-08,N,Davidson,2024,52,50-54,2018,6
5645,OR06,79780.53,11181,Human Resources Analyst Senior,Human Resources,Fulltime,Professionals,F,Black,1975,2018-10-08,Y,Davidson,2024,49,45-49,2018,6
5646,OR11,111373.52,10866,Assistant Public Defender 3,Public Defender,Fulltime,Professionals,M,White,1984,2018-10-08,Y,Davidson,2024,40,40-44,2018,6
5648,OR03,55729.1,7380,Program Spec 3,Sheriff,Fulltime,Professionals,M,Black,1954,2018-10-09,N,Davidson,2024,70,70-74,2018,6
5652,ST06,47981.41,11041,Office Support Rep Sr,Trustee,Fulltime,Administrative support,M,White,1985,2018-10-10,N,Davidson,2024,39,35-39,2018,6
5654,OR04,67504.06,10470,Information Sys Media Analys 1,Information Technology Services,Fulltime,Professionals,M,White,1996,2018-10-15,N,Davidson,2024,28,25-29,2018,6
5656,PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,F,White,1994,2018-10-16,N,Davidson,2024,30,30-34,2018,6
5657,PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1994,2018-10-16,N,Davidson,2024,30,30-34,2018,6
5658,PS05B,89414.93,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1985,2018-10-16,N,Davidson,2024,39,35-39,2018,6
5660,PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1984,2018-10-16,N,Davidson,2024,40,40-44,2018,6
5665,PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1990,2018-10-16,N,Davidson,2024,34,30-34,2018,6
5666,PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,F,White,1994,2018-10-16,N,Davidson,2024,30,30-34,2018,6
5670,PS05B,89414.93,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1988,2018-10-16,N,Davidson,2024,36,35-39,2018,6
5672,TL14,60812.56,7802,Treatment Plant Tech 3,Water Services,Fulltime,Skilled craft workers,M,White,1995,2018-10-16,N,Davidson,2024,29,25-29,2018,6
5675,PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,F,White,1994,2018-10-16,N,Davidson,2024,30,30-34,2018,6
5678,PS04B,79575.07,7357,Police Officer 2-Fld Trng Ofcr,Police,Fulltime,Protective service workers,M,White,1996,2018-10-16,N,Davidson,2024,28,25-29,2018,6
5680,PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1982,2018-10-16,N,Davidson,2024,42,40-44,2018,6
5681,PS05B,89414.93,7366,Police Sergeant,Police,Fulltime,Technicians,F,Black,1989,2018-10-16,N,Davidson,2024,35,35-39,2018,6
5682,PS03A,72322.38,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,Hispanic,1988,2018-10-16,N,Davidson,2024,36,35-39,2018,6
5686,PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1991,2018-10-16,N,Davidson,2024,33,30-34,2018,6
5687,PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,F,Black,1980,2018-10-16,N,Davidson,2024,44,40-44,2018,6
5689,PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,F,Black,1994,2018-10-16,N,Davidson,2024,30,30-34,2018,6
5692,PS03,70215.9,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1992,2018-10-16,N,Davidson,2024,32,30-34,2018,6
5694,PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,Black,1991,2018-10-16,N,Davidson,2024,33,30-34,2018,6
5695,NS,44990.4,10920,OEM Communications Officer,Office of Emergency Mgmt,Fulltime,Professionals,M,White,1997,2018-10-16,N,Davidson,2024,27,25-29,2018,6
5696,PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1994,2018-10-16,N,Davidson,2024,30,30-34,2018,6
5697,PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1983,2018-10-16,N,Davidson,2024,41,40-44,2018,6
5698,OR03,57400.97,11214,Enviromental Health Specialist,Health,Fulltime,Professionals,M,White,1983,2018-10-20,N,Davidson,2024,41,40-44,2018,6
5702,OR03,57400.97,11214,Enviromental Health Specialist,Health,Fulltime,Professionals,M,White,1992,2018-10-22,N,Davidson,2024,32,30-34,2018,6
5704,TG12,51011.48,10838,Equipment Operator Senior,NDOT,Fulltime,Service/Maintenance,M,White,1962,2018-10-22,N,Davidson,2024,62,60-64,2018,6
5705,OR03,57179.85,11259,Data Compliance Technician,Human Resources,Fulltime,Professionals,F,White,1957,2018-10-22,N,Davidson,2024,67,65-69,2018,6
5707,OR01,51918.76,7243,Admin Svcs Officer 2,Juvenile Court Clerk,Fulltime,Professionals,F,Black,1965,2018-10-26,N,Davidson,2024,59,55-59,2018,6
5708,OR11,111373.52,7762,Special Projects Mgr,Office of Homeless Services,Fulltime,Officials and administrators,F,White,1988,2018-10-29,Y,Davidson,2024,36,35-39,2018,6
5709,OR03,57400.97,11214,Enviromental Health Specialist,Health,Fulltime,Professionals,M,White,1995,2018-10-29,N,Davidson,2024,29,25-29,2018,6
5713,OR04,62595.96,11190,Procurement Officer,Finance,Fulltime,Professionals,F,White,1988,2018-11-12,Y,Davidson,2024,36,35-39,2018,6
5714,MAC05D,45000.01,10796,EHS Teacher-MAC,Metro Action Commission,Fulltime,Professionals,F,Black,1994,2018-11-14,N,Davidson,2024,30,30-34,2018,6
5715,OR01,52482.71,2670,Appraiser 2,Assessor of Property,Fulltime,Officials and administrators,M,Black,1994,2018-11-14,N,Davidson,2024,30,30-34,2018,6
5719,OR05,73615.16,10758,Public Health Nurse 1,Health,Fulltime,Professionals,F,Black,1984,2018-11-17,N,Davidson,2024,40,40-44,2018,6
5722,CA06,63148.8,11010,Digital Media Coord-MCC,Convention Center Authority,Fulltime,Professionals,M,White,1978,2018-11-19,Y,Davidson,2024,46,45-49,2018,6
5724,ST09,58861.56,11090,Sheriff Behavioral Care Tech,Sheriff,Fulltime,Protective service workers,F,Black,1961,2018-11-19,N,Davidson,2024,63,60-64,2018,6
5727,OR03,64975.11,7244,Admin Svcs Officer 3,Assessor of Property,Fulltime,Professionals,M,Black,1980,2018-11-29,N,Davidson,2024,44,40-44,2018,6
5728,OR13,196258.27,7192,Assoc Metropolitan Attorney,Law,Fulltime,Officials and administrators,F,White,1979,2018-12-01,Y,Davidson,2024,45,45-49,2018,6
5730,OR10,104099.9,6232,Finance Mgr,Office of Family Safety,Fulltime,Officials and administrators,F,Black,1982,2018-12-01,Y,Davidson,2024,42,40-44,2018,6
5731,ST08,50891.79,10960,Utility Engineer Technician,Water Services,Fulltime,Technicians,M,Black,1985,2018-12-01,N,Davidson,2024,39,35-39,2018,6
5732,ST08,49349.63,10102,Application Tech 2,Water Services,Fulltime,Paraprofessionals,F,White,1987,2018-12-01,N,Davidson,2024,37,35-39,2018,6
5733,TS13,68894.13,6188,Treatment Plant Shift Operator,Water Services,Fulltime,Skilled craft workers,M,White,1985,2018-12-01,N,Davidson,2024,39,35-39,2018,6
5734,TL15,65027.88,6225,Indust Electrician 2,Water Services,Fulltime,Skilled craft workers,M,White,1972,2018-12-01,N,Davidson,2024,52,50-54,2018,6
5735,TG14,56821.91,6186,Treatment Plant Tech 2,Water Services,Fulltime,Skilled craft workers,M,Black,1992,2018-12-01,N,Davidson,2024,32,30-34,2018,6
5737,OR01,49186.01,7243,Admin Svcs Officer 2,Codes Administration,Fulltime,Professionals,F,Black,1986,2018-12-03,N,Davidson,2024,38,35-39,2018,6
5740,ST06,44091.11,11041,Office Support Rep Sr,Health,Fulltime,Administrative support,F,Hispanic,1972,2018-12-10,N,Davidson,2024,52,50-54,2018,6
5743,ST09,52134.67,10776,Animal Care & Con Prog Coord,Health,Fulltime,Paraprofessionals,F,Hispanic,1996,2018-12-15,N,Davidson,2024,28,25-29,2018,6
5744,FD02B,61004.15,7308,Fire Fighter 1,Fire,Fulltime,Protective service workers,M,White,1994,2018-12-15,N,Davidson,2024,30,30-34,2018,6
5748,ST06,44091.11,11189,Police Support Technician,Police,Fulltime,Administrative support,F,White,1996,2018-12-16,N,Davidson,2024,28,25-29,2018,6
5749,FD03A,67725.28,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,Black,1986,2018-12-16,N,Davidson,2024,38,35-39,2018,6
5752,ST08,47807.51,11183,Library Associate,Public Library,Fulltime,Paraprofessionals,F,White,1987,2018-12-17,N,Davidson,2024,37,35-39,2018,6
5753,ST08,55518.19,7419,Warrant Officer 1,Circuit Court Clerk,Fulltime,Protective service workers,M,White,1993,2018-12-17,N,Davidson,2024,31,30-34,2018,6
5759,TG13,54608.08,2220,Bldg Maint Mechanic,Public Library,Fulltime,Skilled craft workers,M,White,1965,2018-12-31,N,Davidson,2024,59,55-59,2018,6
5760,ST10,61301.07,7323,Librarian 2,Public Library,Fulltime,Professionals,F,Black,1984,2018-12-31,N,Davidson,2024,40,40-44,2018,6
5761,ST10,57586.42,7323,Librarian 2,Public Library,Fulltime,Professionals,F,White,1992,2018-12-31,N,Davidson,2024,32,30-34,2018,6
5763,ST08,52433.92,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,M,Black,1991,2019-01-01,N,Davidson,2024,33,30-34,2019,5
5764,ST10,55729.1,11058,Security Officer 4-DCSO,Sheriff,Fulltime,Protective service workers,M,Black,1985,2019-01-01,N,Davidson,2024,39,35-39,2019,5
5765,ST09,58861.56,11226,DCSO Distribution Center Coordinator,Sheriff,Fulltime,Administrative support,F,White,1983,2019-01-01,N,Davidson,2024,41,40-44,2019,5
5769,ST10,57586.42,3190,Museum Coord,Parks,Fulltime,Professionals,F,White,1986,2019-01-08,N,Davidson,2024,38,35-39,2019,5
5770,MAC10C,70470.29,10258,Facilities Mgr,Metro Action Commission,Fulltime,Professionals,F,Black,1971,2019-01-08,Y,Davidson,2024,53,50-54,2019,5
5772,TL11,53905.95,10973,Utility Maintenance Spec 2,Water Services,Fulltime,Technicians,F,White,1990,2019-01-12,N,Davidson,2024,34,30-34,2019,5
5774,OR06,83412.51,7296,Engineer In Training,Water Services,Fulltime,Professionals,F,White,1992,2019-01-12,N,Davidson,2024,32,30-34,2019,5
5775,ST08,53976.05,10960,Utility Engineer Technician,Water Services,Fulltime,Technicians,M,Black,1989,2019-01-12,N,Davidson,2024,35,35-39,2019,5
5778,FD05,77649.16,2534,Fire Inspector 2,Fire,Fulltime,Officials and administrators,M,White,1968,2019-01-16,N,Davidson,2024,56,55-59,2019,5
5781,CA01,44470.4,11051,Setup Staff-3rd shift-MCC,Convention Center Authority,Fulltime,Service/Maintenance,M,Black,1959,2019-01-22,N,Davidson,2024,65,65-69,2019,5
5782,OR08,104778.4,6861,Planner 3,Metropolitan Council,Fulltime,Professionals,M,White,1991,2019-01-22,Y,Davidson,2024,33,30-34,2019,5
5784,ST07,45253.62,6880,Recreation Leader,Parks,Fulltime,Paraprofessionals,M,White,1967,2019-01-25,N,Davidson,2024,57,55-59,2019,5
5786,ST09,50452.95,6922,Property Stan Insp 1,Codes Administration,Fulltime,Officials and administrators,M,Hispanic,1988,2019-01-28,N,Davidson,2024,36,35-39,2019,5
5787,CA01,47049.6,10710,Security & Parking Off 2-MCC,Convention Center Authority,Fulltime,Service/Maintenance,M,White,1967,2019-01-28,N,Davidson,2024,57,55-59,2019,5
5789,OR06,83364.88,7296,Engineer In Training,NDOT,Fulltime,Professionals,M,White,1978,2019-01-28,Y,Davidson,2024,46,45-49,2019,5
5790,OR10,125557.0,6863,Planning Mgr 2,Planning Commission,Fulltime,Professionals,F,White,1986,2019-01-28,Y,Davidson,2024,38,35-39,2019,5
5791,ST05,41620.67,11040,Office Support Rep,Election Commission,Fulltime,Administrative support,F,Black,1963,2019-02-04,N,Davidson,2024,61,60-64,2019,5
5793,OR09,94249.13,10863,Admin Svcs Division Manager,Office of Family Safety,Fulltime,Officials and administrators,F,White,1988,2019-02-06,N,Davidson,2024,36,35-39,2019,5
5795,ST10,63158.39,10961,Utility Engineer Tech Sr,Water Services,Fulltime,Technicians,M,White,1964,2019-02-09,N,Davidson,2024,60,60-64,2019,5
5799,OR10,127441.32,7407,Information Systems Advisor 2,Information Technology Services,Fulltime,Officials and administrators,F,White,1987,2019-02-11,Y,Davidson,2024,37,35-39,2019,5
5800,NS,93940.0,390,Asst District Attorney,District Attorney,Fulltime,Professionals,F,White,1993,2019-02-11,Y,Davidson,2024,31,30-34,2019,5
5805,MAC11A,76256.94,10789,Early Childhood Ctr Mgr-MAC,Metro Action Commission,Fulltime,Professionals,F,Black,1959,2019-02-19,Y,Davidson,2024,65,65-69,2019,5
5806,MAC08B,52000.0,10236,Headstart Teacher 2,Metro Action Commission,Fulltime,Professionals,F,Black,1970,2019-02-19,N,Davidson,2024,54,50-54,2019,5
5808,TS13,68894.13,6188,Treatment Plant Shift Operator,Water Services,Fulltime,Skilled craft workers,F,Black,1986,2019-02-23,Y,Davidson,2024,38,35-39,2019,5
5809,ST10,59443.75,7323,Librarian 2,Public Library,Fulltime,Professionals,F,White,1990,2019-02-25,Y,Davidson,2024,34,30-34,2019,5
5813,OR01,58297.7,7243,Admin Svcs Officer 2,General Sessions Court,Fulltime,Professionals,F,Black,1970,2019-02-28,N,Davidson,2024,54,50-54,2019,5
5816,ST06,44091.11,10755,Call Center Operator-DCSO,Sheriff,Fulltime,Administrative support,F,Black,1963,2019-03-01,N,Davidson,2024,61,60-64,2019,5
5817,NS,93940.0,390,Asst District Attorney,District Attorney,Fulltime,Professionals,F,Black,1993,2019-03-01,Y,Davidson,2024,31,30-34,2019,5
5820,OR08,88500.0,6861,Planner 3,Planning Commission,Fulltime,Professionals,F,White,1991,2019-03-04,Y,Davidson,2024,33,30-34,2019,5
5821,OR01,48699.02,7243,Admin Svcs Officer 2,County Clerk,Fulltime,Professionals,F,White,1987,2019-03-04,N,Davidson,2024,37,35-39,2019,5
5822,NS,53476.0,6504,Deputy Criminal Ct Clerk 3,Criminal Court Clerk,Fulltime,Administrative support,M,Black,1982,2019-03-04,N,Davidson,2024,42,40-44,2019,5
5824,OR04,64437.02,11170,Accountant,Finance,Fulltime,Professionals,F,White,1980,2019-03-11,Y,Davidson,2024,44,40-44,2019,5
5826,ST07,42425.32,10100,Application Tech 1,General Services,Fulltime,Paraprofessionals,M,White,1971,2019-03-11,N,Davidson,2024,53,50-54,2019,5
5829,PS04B,79575.07,7357,Police Officer 2-Fld Trng Ofcr,Police,Fulltime,Protective service workers,F,White,1990,2019-03-16,N,Davidson,2024,34,30-34,2019,5
5830,PS03A,72322.38,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1994,2019-03-16,N,Davidson,2024,30,30-34,2019,5
5831,ST08,52433.92,7364,Police Operations Coord 2,Police,Fulltime,Administrative support,F,White,1993,2019-03-16,N,Davidson,2024,31,30-34,2019,5
5832,PS03A,72322.38,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1994,2019-03-16,N,Davidson,2024,30,30-34,2019,5
5835,PS04B,79575.07,7357,Police Officer 2-Fld Trng Ofcr,Police,Fulltime,Protective service workers,M,White,1995,2019-03-16,N,Davidson,2024,29,25-29,2019,5
5842,PS03A,72322.38,7356,Police Officer 2,Police,Fulltime,Protective service workers,F,White,1975,2019-03-16,N,Davidson,2024,49,45-49,2019,5
5846,PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1991,2019-03-16,N,Davidson,2024,33,30-34,2019,5
5847,PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1991,2019-03-16,N,Davidson,2024,33,30-34,2019,5
5848,PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,Hispanic,1992,2019-03-16,N,Davidson,2024,32,30-34,2019,5
5850,PS03,70215.9,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1992,2019-03-16,N,Davidson,2024,32,30-34,2019,5
5857,PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,Black,1984,2019-03-16,N,Davidson,2024,40,40-44,2019,5
5858,OR01,51053.39,10904,Nutrition Educator,Health,Fulltime,Professionals,F,White,1982,2019-03-18,N,Davidson,2024,42,40-44,2019,5
5859,NS,52000.0,6505,Deputy Criminal Ct Clerk 4,Criminal Court Clerk,Fulltime,Administrative support,F,Hispanic,1989,2019-03-20,N,Davidson,2024,35,35-39,2019,5
5860,OR01,50891.79,7243,Admin Svcs Officer 2,Fire,Fulltime,Professionals,F,Black,1969,2019-03-23,N,Davidson,2024,55,55-59,2019,5
5861,OR07,83234.68,11085,Enviromental Compliance Supervisor,Water Services,Fulltime,Professionals,M,White,1991,2019-03-23,Y,Davidson,2024,33,30-34,2019,5
5863,OR04,67461.98,11177,Finance Officer,Water Services,Fulltime,Professionals,F,Black,1966,2019-03-23,N,Davidson,2024,58,55-59,2019,5
5865,PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1995,2019-03-26,N,Davidson,2024,29,25-29,2019,5
5867,OR07,80810.37,7242,Admin Svcs Mgr,Office of Homeless Services,Fulltime,Officials and administrators,F,White,1992,2019-04-01,Y,Davidson,2024,32,30-34,2019,5
5868,ST07,46667.76,2870,Legal Secretary 1,District Attorney,Fulltime,Administrative support,F,Black,1975,2019-04-01,N,Davidson,2024,49,45-49,2019,5
5870,TG09,46077.43,10849,Maintenance & Repair Worker Se,Parks,Fulltime,Service/Maintenance,M,White,1980,2019-04-01,N,Davidson,2024,44,40-44,2019,5
5872,ST07,48081.9,10123,Office Support Spec 1,Health,Fulltime,Administrative support,F,Black,1989,2019-04-06,N,Davidson,2024,35,35-39,2019,5
5873,ST09,57179.85,6810,Bldg Inspector 1,Codes Administration,Fulltime,Officials and administrators,M,Black,1958,2019-04-08,N,Davidson,2024,66,65-69,2019,5
5874,TG12,54118.08,10838,Equipment Operator Senior,Water Services,Fulltime,Service/Maintenance,M,Black,1974,2019-04-08,N,Davidson,2024,50,50-54,2019,5
5875,OR10,130754.11,7407,Information Systems Advisor 2,Information Technology Services,Fulltime,Officials and administrators,M,White,1978,2019-04-08,Y,Davidson,2024,46,45-49,2019,5
5876,ST08,47807.51,10124,Office Support Spec 2,County Clerk,Fulltime,Administrative support,F,White,1960,2019-04-08,N,Davidson,2024,64,60-64,2019,5
5879,ST07,48081.9,10123,Office Support Spec 1,Trustee,Fulltime,Administrative support,M,White,1961,2019-04-15,N,Davidson,2024,63,60-64,2019,5
5880,OR08,108169.98,7234,Information Systems Advisor 1,Information Technology Services,Fulltime,Officials and administrators,M,White,1980,2019-04-15,Y,Davidson,2024,44,40-44,2019,5
5881,OR01,50038.24,7243,Admin Svcs Officer 2,Juvenile Court,Fulltime,Professionals,F,Black,1959,2019-04-15,N,Davidson,2024,65,65-69,2019,5
5883,FD03,63837.57,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,F,White,1983,2019-04-16,N,Davidson,2024,41,40-44,2019,5
5884,FD03,63837.57,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,Black,1992,2019-04-16,N,Davidson,2024,32,30-34,2019,5
5889,FD03B,69697.85,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,Black,1992,2019-04-16,N,Davidson,2024,32,30-34,2019,5
5891,FD03,65752.7,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,White,1993,2019-04-16,N,Davidson,2024,31,30-34,2019,5
5893,FD03,63837.57,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,Black,1979,2019-04-16,N,Davidson,2024,45,45-49,2019,5
5894,FD03B,67667.82,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,Black,1974,2019-04-16,N,Davidson,2024,50,50-54,2019,5
5896,FD03,65752.7,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,White,1990,2019-04-16,N,Davidson,2024,34,30-34,2019,5
5900,FD03,63837.57,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,Black,1982,2019-04-16,N,Davidson,2024,42,40-44,2019,5
5901,FD03,63837.57,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,Black,1986,2019-04-16,N,Davidson,2024,38,35-39,2019,5
5902,FD03,63837.57,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,Black,1995,2019-04-16,N,Davidson,2024,29,25-29,2019,5
5903,FD03A,65752.7,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,Black,1987,2019-04-16,N,Davidson,2024,37,35-39,2019,5
5907,TG11,55059.25,6229,Treatment Plant Tech 1,Water Services,Fulltime,Skilled craft workers,M,Black,1972,2019-04-20,N,Davidson,2024,52,50-54,2019,5
5909,OR07,83234.69,11086,Water Quality Supervisor,Water Services,Fulltime,Professionals,F,Black,1986,2019-04-20,Y,Davidson,2024,38,35-39,2019,5
5910,TL14,60812.56,7802,Treatment Plant Tech 3,Water Services,Fulltime,Skilled craft workers,M,Black,1970,2019-04-20,N,Davidson,2024,54,50-54,2019,5
5916,MAC08B,64496.65,10236,Headstart Teacher 2,Metro Action Commission,Fulltime,Professionals,F,Black,1977,2019-04-24,N,Davidson,2024,47,45-49,2019,5
5917,ST05,41620.67,11040,Office Support Rep,Parks,Fulltime,Administrative support,F,Black,1994,2019-04-26,N,Davidson,2024,30,30-34,2019,5
5918,ET04,63158.39,10410,Emer Telecommunications Off 4,Emergency Communications,Fulltime,Administrative support,M,White,1996,2019-04-29,N,Davidson,2024,28,25-29,2019,5
5919,MAC01,40435.2,10250,Teacher Asst,Metro Action Commission,Fulltime,Administrative support,F,White,1986,2019-04-29,N,Davidson,2024,38,35-39,2019,5
5926,ST08,47807.51,10957,Utility Compliance Insp 1,Water Services,Fulltime,Technicians,M,Black,1999,2019-05-04,N,Davidson,2024,25,25-29,2019,5
5927,OR07,91774.84,7242,Admin Svcs Mgr,Water Services,Fulltime,Officials and administrators,M,White,1978,2019-05-04,Y,Davidson,2024,46,45-49,2019,5
5930,ST08,49349.63,10957,Utility Compliance Insp 1,Water Services,Fulltime,Technicians,M,Black,1966,2019-05-04,N,Davidson,2024,58,55-59,2019,5
5931,ST09,53816.4,2890,Librarian 1,Public Library,Fulltime,Professionals,F,White,1992,2019-05-06,N,Davidson,2024,32,30-34,2019,5
5933,OR05,84519.5,7245,Admin Svcs Officer 4,Arts Commission,Fulltime,Professionals,M,Hispanic,1981,2019-05-08,Y,Davidson,2024,43,40-44,2019,5
5934,PS04B,79575.07,7357,Police Officer 2-Fld Trng Ofcr,Police,Fulltime,Protective service workers,M,White,1995,2019-05-16,N,Davidson,2024,29,25-29,2019,5
5935,NS,50544.0,10316,Case Officer 3,State Trial Courts,Fulltime,Professionals,F,White,1987,2019-05-20,N,Davidson,2024,37,35-39,2019,5
5936,TG07,42747.19,10832,Custodian,Public Library,Fulltime,Service/Maintenance,F,White,1964,2019-05-20,N,Davidson,2024,60,60-64,2019,5
