Pay Grade / Step,Annual Salary,Class,Title,Current Department,Employment Status,EEO Job Category Description,Gender,Ethnic Code Description,Year of Birth,Date Started,FLSA Exempt?,County,Current_Year,Age,Age_Group,Started_Year,Year_Of_Service
OR06,78937.08,7783,Info Systems App Analyst 3,Fire,Fulltime,Professionals,M,White,1978,2017-01-03,Y,Cheatham,2024,46,45-49,2017,7
OR01,53976.06,7379,Program Spec 2,Health,Fulltime,Professionals,F,Black,1985,2017-01-09,N,Davidson,2024,39,35-39,2017,7
OR05,70000.0,7377,Program Mgr 2,Office of Family Safety,Fulltime,Officials and administrators,M,White,1987,2017-01-09,N,Davidson,2024,37,35-39,2017,7
OR02,58877.97,6034,Program Coord,Parks,Fulltime,Professionals,F,Black,1994,2017-01-13,Y,Rutherford,2024,30,30-34,2017,7
ST09,52134.67,7768,Circulation Supv,Public Library,Fulltime,Paraprofessionals,F,Black,1957,2017-01-15,N,Davidson,2024,67,65-69,2017,7
LP01,16624.42,5070,Library Page,Public Library,Parttime,Paraprofessionals,F,White,1948,2017-01-15,N,Davidson,2024,76,75-79,2017,7
OR07,105062.39,7242,Admin Svcs Mgr,NDOT,Fulltime,Officials and administrators,F,Black,1964,2017-01-16,Y,Sumner,2024,60,60-64,2017,7
NS,48945.6,10816,Satellite position,Circuit Court Satellite,Fulltime,Professionals,M,Black,1995,2017-01-17,N,Davidson,2024,29,25-29,2017,7
NS,30260.05,10614,Security Officer 2,Sheriff,Parttime,Administrative support,M,Black,1961,2017-01-17,N,Wilson,2024,63,60-64,2017,7
ST07,49496.02,11039,Equipment & Supply Clk Sr,Health,Fulltime,Administrative support,M,Black,1990,2017-01-17,N,Davidson,2024,34,30-34,2017,7
ST07,53738.45,10123,Office Support Spec 1,Assessor of Property,Fulltime,Administrative support,F,Black,1991,2017-01-23,N,Davidson,2024,33,30-34,2017,7
CA07,58136.0,11247,Facilities Services Coordinator-MCC,Convention Center Authority,Fulltime,Professionals,M,White,1979,2017-01-23,Y,Davidson,2024,45,45-49,2017,7
ST06,42794.35,11041,Office Support Rep Sr,County Clerk,Fulltime,Administrative support,M,Black,1996,2017-01-23,N,Davidson,2024,28,25-29,2017,7
NS,38648.07,10576,Sheriff Chaplain,Sheriff,Parttime,Professionals,M,Black,1964,2017-01-24,N,Davidson,2024,60,60-64,2017,7
OR05,54876.27,10758,Public Health Nurse 1,Health,Parttime,Professionals,F,White,1970,2017-01-28,N,Wilson,2024,54,50-54,2017,7
OR01,53368.83,10904,Nutrition Educator,Health,Fulltime,Professionals,F,White,1989,2017-01-28,N,Rutherford,2024,35,35-39,2017,7
ST08,53976.05,11274,Utility Customer Care Agent 2,Water Services,Fulltime,Technicians,F,Black,1965,2017-01-28,N,Davidson,2024,59,55-59,2017,7
ST08,47807.51,11183,Library Associate,Public Library,Fulltime,Paraprofessionals,F,White,1988,2017-01-29,N,Davidson,2024,36,35-39,2017,7
OR11,141204.3,10887,Information Systems Advisor 3,Information Technology Services,Fulltime,Officials and administrators,F,Black,1977,2017-01-30,Y,Davidson,2024,47,45-49,2017,7
TG12,54118.08,10838,Equipment Operator Senior,Parks,Fulltime,Service/Maintenance,M,White,1990,2017-01-30,N,Dickson,2024,34,30-34,2017,7
PS03A,72322.38,7356,Police Officer 2,Police,Fulltime,Protective service workers,F,White,1993,2017-01-30,N,Davidson,2024,31,30-34,2017,7
TG12,51011.48,10838,Equipment Operator Senior,NDOT,Fulltime,Service/Maintenance,M,White,1961,2017-01-30,N,Davidson,2024,63,60-64,2017,7
NS,56727.26,10527,Deputy Clerk & Master II,Clerk and Master,Fulltime,Professionals,F,Black,1969,2017-01-30,Y,Wilson,2024,55,55-59,2017,7
OR12,124823.29,10871,Assistant Metropolitan Atty 4,Metropolitan Council,Fulltime,Professionals,F,White,1991,2017-01-30,Y,Davidson,2024,33,30-34,2017,7
NS,38036.54,7244,Admin Svcs Officer 3,Sheriff,Parttime,Professionals,F,White,1957,2017-02-01,N,Sumner,2024,67,65-69,2017,7
FD07B,90095.51,1495,Fire Marshal-Asst,Fire,Fulltime,Officials and administrators,M,White,1989,2017-02-08,N,Davidson,2024,35,35-39,2017,7
ST09,58861.56,2890,Librarian 1,Public Library,Fulltime,Professionals,F,White,1967,2017-02-12,N,Williamson,2024,57,55-59,2017,7
TS10,63197.77,7397,Sanitation Supv,Water Services,Fulltime,Service/Maintenance,M,Black,1994,2017-02-13,N,Sumner,2024,30,30-34,2017,7
TG10,48114.13,10837,Equipment Operator,NDOT,Fulltime,Service/Maintenance,M,White,1978,2017-02-13,N,Robertson,2024,46,45-49,2017,7
MAC03B,49838.66,10214,Computer Data Spec,Metro Action Commission,Fulltime,Technicians,M,Black,1985,2017-02-13,N,Davidson,2024,39,35-39,2017,7
ST09,52134.67,7732,Compliance Inspector 2,NDOT,Fulltime,Officials and administrators,M,White,1994,2017-02-13,N,Dickson,2024,30,30-34,2017,7
OR06,76341.46,11164,Engineer in Training-Health,Health,Fulltime,Professionals,M,White,1994,2017-02-14,N,Davidson,2024,30,30-34,2017,7
ST11,69548.92,11046,Crime Scene Investigator 3,Police,Fulltime,Technicians,F,White,1989,2017-02-16,N,Williamson,2024,35,35-39,2017,7
OR05,72226.2,5495,Probation Officer 3,Juvenile Court,Fulltime,Professionals,F,Black,1994,2017-02-21,N,Davidson,2024,30,30-34,2017,7
TG14,58526.58,6186,Treatment Plant Tech 2,Water Services,Fulltime,Skilled craft workers,M,White,1987,2017-02-25,N,Sumner,2024,37,35-39,2017,7
OR01,53976.05,6567,Commun Disease Investigator,Health,Fulltime,Professionals,M,White,1993,2017-02-25,N,Davidson,2024,31,30-34,2017,7
TS16,84303.05,7803,Treatment Plant Shift Supv,Water Services,Fulltime,Skilled craft workers,M,White,1985,2017-02-25,N,Robertson,2024,39,35-39,2017,7
OR01,49349.63,7243,Admin Svcs Officer 2,Juvenile Court,Fulltime,Professionals,F,Black,1985,2017-02-25,N,Davidson,2024,39,35-39,2017,7
TS05,56962.29,5460,Custodial Svcs Supv,Public Library,Fulltime,Service/Maintenance,M,Black,1964,2017-02-26,N,Davidson,2024,60,60-64,2017,7
PK02,66185.22,10127,Park Police 2,Parks,Fulltime,Protective service workers,M,White,1990,2017-02-27,N,Cheatham,2024,34,30-34,2017,7
OR06,90619.4,7757,Technical Specialist 2,Sheriff,Fulltime,Professionals,M,White,1986,2017-02-27,Y,Williamson,2024,38,35-39,2017,7
ST09,62224.99,10749,App Support Tech 1-DCSO,Sheriff,Fulltime,Administrative support,M,White,1994,2017-02-27,N,Sumner,2024,30,30-34,2017,7
OR03,66176.37,10854,Social Worker Senior,Public Defender,Fulltime,Professionals,M,Black,1985,2017-02-27,N,Davidson,2024,39,35-39,2017,7
CO03,65458.76,6690,Correctional Officer Sergeant,Sheriff,Fulltime,Protective service workers,M,Black,1986,2017-02-27,N,Davidson,2024,38,35-39,2017,7
CO02,61301.07,6981,Correctional Officer 2,Sheriff,Fulltime,Protective service workers,M,White,1994,2017-02-27,N,Rutherford,2024,30,30-34,2017,7
ST11,71593.99,11198,Short Term Rental Inspector,Codes Administration,Fulltime,Officials and administrators,M,White,1958,2017-02-27,N,Williamson,2024,66,65-69,2017,7
OR05,69448.27,7377,Program Mgr 2,Sheriff,Fulltime,Officials and administrators,M,White,1989,2017-02-27,Y,Montgomery,2024,35,35-39,2017,7
OR11,144771.02,7318,Info Systems Div Mgr,Information Technology Services,Fulltime,Officials and administrators,F,White,1973,2017-02-27,Y,Robertson,2024,51,50-54,2017,7
OR09,94249.13,11309,Director of Inmate Services-DCSO,Sheriff,Fulltime,Officials and administrators,F,Black,1967,2017-02-27,Y,Robertson,2024,57,55-59,2017,7
NS,28201.27,10123,Office Support Spec 1,Sheriff,Parttime,Administrative support,M,Black,1963,2017-02-28,N,Davidson,2024,61,60-64,2017,7
FD03,69757.04,7310,Fire Inspector 1,Fire,Fulltime,Officials and administrators,M,White,1972,2017-03-01,N,Sumner,2024,52,50-54,2017,7
FD03A,71849.75,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,White,1990,2017-03-01,N,Davidson,2024,34,30-34,2017,7
OR04,77487.33,10851,Police Crisis Counselor,Police,Fulltime,Professionals,F,Black,1963,2017-03-01,Y,Rutherford,2024,61,60-64,2017,7
NS,2045.47,9020,Seasonal/Part-time/Temporary,General Sessions Court,Seasonal,Service/Maintenance,M,White,1951,2017-03-01,Y,Williamson,2024,73,70-74,2017,7
FD05,79978.63,11187,Paramedic,Fire,Fulltime,Technicians,M,White,1982,2017-03-01,N,Cheatham,2024,42,40-44,2017,7
FD03,69757.04,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,Black,1962,2017-03-01,N,Davidson,2024,62,60-64,2017,7
FD03,69757.04,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,White,1986,2017-03-01,N,Hickman,2024,38,35-39,2017,7
FD05,79978.63,11187,Paramedic,Fire,Fulltime,Technicians,M,White,1990,2017-03-01,N,Robertson,2024,34,30-34,2017,7
FD03,69757.04,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,White,1988,2017-03-01,N,Dickson,2024,36,35-39,2017,7
NS,10251.11,7279,Criminal Investigator,District Attorney,Parttime,Protective service workers,M,White,1955,2017-03-01,N,Wilson,2024,69,65-69,2017,7
JS03,80353.0,7791,Judicial Asst 2,State Trial Courts,Fulltime,Protective service workers,M,White,1987,2017-03-02,Y,Davidson,2024,37,35-39,2017,7
OR06,76341.46,11191,Procurement Officer Senior,Finance,Fulltime,Professionals,M,Black,1984,2017-03-06,Y,Davidson,2024,40,40-44,2017,7
OR03,59174.5,7380,Program Spec 3,Office of Homeless Services,Fulltime,Professionals,M,Black,1975,2017-03-06,N,Sumner,2024,49,45-49,2017,7
RS04,10108.8,9104,Seasonal Worker 2,Parks,Seasonal,Service/Maintenance,M,Black,1951,2017-03-10,N,Davidson,2024,73,70-74,2017,7
ST08,40482.04,220,Specialized Skills Instr,Parks,Parttime,Professionals,F,Two or more,1994,2017-03-10,N,Rutherford,2024,30,30-34,2017,7
ST05,18836.36,11035,Concessions Clerk,Parks,Parttime,Administrative support,M,Black,1955,2017-03-10,N,Rutherford,2024,69,65-69,2017,7
OR03,57400.97,11214,Enviromental Health Specialist,Health,Fulltime,Professionals,M,Black,1992,2017-03-11,N,Davidson,2024,32,30-34,2017,7
MAC08B,53765.9,10236,Headstart Teacher 2,Metro Action Commission,Fulltime,Professionals,F,Black,1980,2017-03-13,N,Davidson,2024,44,40-44,2017,7
MAC01,42456.96,10250,Teacher Asst,Metro Action Commission,Fulltime,Administrative support,F,White,1976,2017-03-13,N,Williamson,2024,48,45-49,2017,7
OR13,131001.81,10469,General Services Assistant Dir,General Services,Fulltime,Officials and administrators,F,White,1979,2017-03-13,Y,Davidson,2024,45,45-49,2017,7
NS,34617.0,7405,Social Work Tech,State Trial Courts,Fulltime,Paraprofessionals,F,Black,1949,2017-03-20,N,Davidson,2024,75,75-79,2017,7
OR05,60263.02,10758,Public Health Nurse 1,Health,Parttime,Professionals,F,White,1964,2017-03-20,N,Williamson,2024,60,60-64,2017,7
OR05,69448.27,10153,Finance Spec,Health,Fulltime,Professionals,F,Black,1974,2017-03-20,N,Davidson,2024,50,50-54,2017,7
RD01,102469.13,7757,Technical Specialist 2,Sheriff,Fulltime,Professionals,F,White,1975,2017-03-22,Y,Davidson,2024,49,45-49,2017,7
OR13,175042.86,6108,Finance Asst Dir,Finance,Fulltime,Officials and administrators,F,White,1985,2017-03-25,Y,Davidson,2024,39,35-39,2017,7
OR06,100059.21,7757,Technical Specialist 2,Water Services,Fulltime,Professionals,F,White,1967,2017-03-25,Y,Rutherford,2024,57,55-59,2017,7
ST08,50891.79,10124,Office Support Spec 2,Water Services,Fulltime,Administrative support,F,White,1985,2017-03-26,N,Maury,2024,39,35-39,2017,7
OR03,56700.0,7244,Admin Svcs Officer 3,Codes Administration,Fulltime,Professionals,F,Black,1985,2017-03-27,N,Davidson,2024,39,35-39,2017,7
OR07,80810.37,11197,Short Term Rental Inspection Chief,Codes Administration,Fulltime,Officials and administrators,M,White,1958,2017-03-27,Y,Davidson,2024,66,65-69,2017,7
OR09,106515.04,10863,Admin Svcs Division Manager,NDOT,Fulltime,Officials and administrators,F,White,1987,2017-03-27,Y,Davidson,2024,37,35-39,2017,7
OR06,86336.04,7757,Technical Specialist 2,General Services,Fulltime,Professionals,M,White,1959,2017-03-27,Y,Davidson,2024,65,65-69,2017,7
OR04,72165.59,7376,Program Mgr 1,Juvenile Court,Fulltime,Professionals,M,White,1963,2017-04-03,Y,Davidson,2024,61,60-64,2017,7
OR01,50496.02,7243,Admin Svcs Officer 2,County Clerk,Fulltime,Professionals,M,Black,1972,2017-04-05,N,Davidson,2024,52,50-54,2017,7
ST05,14983.44,11035,Concessions Clerk,Parks,Parttime,Administrative support,F,White,1955,2017-04-07,N,Davidson,2024,69,65-69,2017,7
OR01,49673.0,7379,Program Spec 2,Public Library,Fulltime,Professionals,F,White,1995,2017-04-09,N,Davidson,2024,29,25-29,2017,7
ET04,63158.39,10410,Emer Telecommunications Off 4,Emergency Communications,Fulltime,Administrative support,F,White,1980,2017-04-10,N,Davidson,2024,44,40-44,2017,7
MAC01B,19408.9,10250,Teacher Asst,Metro Action Commission,Parttime,Administrative support,F,White,1977,2017-04-10,N,Davidson,2024,47,45-49,2017,7
TG07,51042.38,10848,Maintenance & Repair Worker,NDOT,Fulltime,Service/Maintenance,M,White,1995,2017-04-10,N,Robertson,2024,29,25-29,2017,7
ST09,58861.56,6922,Property Stan Insp 1,Codes Administration,Fulltime,Officials and administrators,M,White,1983,2017-04-10,N,Dickson,2024,41,40-44,2017,7
ET04,63158.39,10410,Emer Telecommunications Off 4,Emergency Communications,Fulltime,Administrative support,F,White,1990,2017-04-10,N,Montgomery,2024,34,30-34,2017,7
PS03,70215.9,7356,Police Officer 2,Police,Fulltime,Protective service workers,F,White,1993,2017-04-10,N,Robertson,2024,31,30-34,2017,7
FD03A,69757.04,7310,Fire Inspector 1,Fire,Fulltime,Officials and administrators,M,White,1994,2017-04-10,N,Davidson,2024,30,30-34,2017,7
TG10,48114.13,10837,Equipment Operator,NDOT,Fulltime,Service/Maintenance,M,Black,1991,2017-04-10,N,Davidson,2024,33,30-34,2017,7
TG12,54118.08,10838,Equipment Operator Senior,NDOT,Fulltime,Service/Maintenance,M,White,1995,2017-04-10,N,Montgomery,2024,29,25-29,2017,7
OR05,74785.94,6123,Historic Preservationist 1,Historical Commission,Fulltime,Professionals,F,White,1976,2017-04-12,Y,Davidson,2024,48,45-49,2017,7
ST07,36061.43,6880,Recreation Leader,Parks,Parttime,Paraprofessionals,M,Black,1975,2017-04-14,N,Davidson,2024,49,45-49,2017,7
TG09,46077.43,10849,Maintenance & Repair Worker Se,Parks,Fulltime,Service/Maintenance,M,Black,1989,2017-04-22,N,Davidson,2024,35,35-39,2017,7
TG13,54608.08,2220,Bldg Maint Mechanic,Public Library,Fulltime,Skilled craft workers,M,Black,1954,2017-04-23,N,Davidson,2024,70,70-74,2017,7
MAC01,44742.07,10250,Teacher Asst,Metro Action Commission,Fulltime,Administrative support,F,Black,1973,2017-04-24,N,Davidson,2024,51,50-54,2017,7
OR04,61368.59,11323,Family Safety Advocate Senior,Office of Family Safety,Fulltime,Professionals,F,White,1985,2017-04-24,N,Davidson,2024,39,35-39,2017,7
NS,17971.2,9020,Seasonal/Part-time/Temporary,State Trial Courts,Parttime,Service/Maintenance,F,Black,1949,2017-04-28,N,Davidson,2024,75,75-79,2017,7
FD03,69757.04,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,White,1985,2017-05-01,N,Williamson,2024,39,35-39,2017,7
FD03,69757.04,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,Two or more,1992,2017-05-01,N,Maury,2024,32,30-34,2017,7
OR09,94249.13,10865,Assistant Public Defender 2,Public Defender,Fulltime,Professionals,F,Asian,1988,2017-05-01,Y,Davidson,2024,36,35-39,2017,7
CA04,53518.4,10675,Set Up Staff Supv-Conv Ctr,Convention Center Authority,Fulltime,Technicians,M,White,1966,2017-05-01,N,Sumner,2024,58,55-59,2017,7
OR06,74561.46,7757,Technical Specialist 2,Juvenile Court Clerk,Fulltime,Professionals,M,Black,1966,2017-05-01,Y,Davidson,2024,58,55-59,2017,7
FD05B,84777.36,11187,Paramedic,Fire,Fulltime,Technicians,M,White,1985,2017-05-01,N,Cheatham,2024,39,35-39,2017,7
FD05A,82378.01,11187,Paramedic,Fire,Fulltime,Technicians,M,White,1976,2017-05-01,N,Sumner,2024,48,45-49,2017,7
OR02,60627.41,6034,Program Coord,Health,Fulltime,Professionals,M,White,1966,2017-05-06,N,Sumner,2024,58,55-59,2017,7
ST09,53816.4,7768,Circulation Supv,Public Library,Fulltime,Paraprofessionals,M,Black,1967,2017-05-07,N,Davidson,2024,57,55-59,2017,7
MAC08B,53765.9,10236,Headstart Teacher 2,Metro Action Commission,Fulltime,Professionals,F,Black,1961,2017-05-08,N,Davidson,2024,63,60-64,2017,7
OR13,160784.87,11270,Transportation Assistant Director,NDOT,Fulltime,Officials and administrators,F,Black,1972,2017-05-08,Y,Davidson,2024,52,50-54,2017,7
TL11,55523.13,10847,Maintenance & Repair Leader,Parks,Fulltime,Service/Maintenance,M,White,1978,2017-05-12,N,Sumner,2024,46,45-49,2017,7
FD03B,71788.79,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,White,1993,2017-05-16,N,Wilson,2024,31,30-34,2017,7
FD03,69757.04,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,White,1983,2017-05-16,N,Robertson,2024,41,40-44,2017,7
FD03B,71788.79,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,White,1980,2017-05-16,N,Williamson,2024,44,40-44,2017,7
FD03B,71788.79,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,Two or more,1982,2017-05-16,N,Maury,2024,42,40-44,2017,7
FD03,67725.28,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,White,1992,2017-05-16,N,Rutherford,2024,32,30-34,2017,7
FD03,69757.04,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,Hispanic,1984,2017-05-16,N,Rutherford,2024,40,40-44,2017,7
FD03B,71788.79,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,White,1994,2017-05-16,N,Cheatham,2024,30,30-34,2017,7
FD03,67725.28,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,F,White,1989,2017-05-16,N,Cheatham,2024,35,35-39,2017,7
FD03,69757.04,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,Black,1984,2017-05-16,N,Maury,2024,40,40-44,2017,7
FD03,69757.04,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,F,Hispanic,1991,2017-05-16,N,Franklin,2024,33,30-34,2017,7
FD05B,77583.3,7307,Fire Engineer,Fire,Fulltime,Technicians,M,Black,1991,2017-05-16,N,Rutherford,2024,33,30-34,2017,7
FD05A,75387.54,7307,Fire Engineer,Fire,Fulltime,Technicians,F,White,1990,2017-05-16,N,Montgomery,2024,34,30-34,2017,7
FD03,67725.28,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,White,1985,2017-05-16,N,Coffee,2024,39,35-39,2017,7
FD03B,71788.79,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,Black,1989,2017-05-16,N,Davidson,2024,35,35-39,2017,7
FD03B,71788.79,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,White,1988,2017-05-16,N,Dickson,2024,36,35-39,2017,7
NS,30260.05,10614,Security Officer 2,Sheriff,Parttime,Administrative support,M,Black,1956,2017-05-16,N,Montgomery,2024,68,65-69,2017,7
FD03B,71788.78,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,Black,1992,2017-05-16,N,Davidson,2024,32,30-34,2017,7
TG07,44029.61,10832,Custodian,Parks,Fulltime,Service/Maintenance,M,White,1976,2017-05-22,N,Cheatham,2024,48,45-49,2017,7
NS,,9020,Seasonal/Part-time/Temporary,Parks,Pool,Service/Maintenance,M,White,1991,2017-05-24,N,Davidson,2024,33,30-34,2017,7
NS,47022.66,6506,Deputy Criminal Ct Clerk 5,Criminal Court Clerk,Fulltime,Administrative support,F,Black,1955,2017-05-25,N,Davidson,2024,69,65-69,2017,7
NS,204552.0,2233,General Session Judge,General Sessions Court,Elected,Officials and administrators,M,Black,1954,2017-05-30,Y,Davidson,2024,70,70-74,2017,7
NS,52406.4,6504,Deputy Criminal Ct Clerk 3,Criminal Court Clerk,Fulltime,Administrative support,M,Black,1987,2017-05-30,N,Davidson,2024,37,35-39,2017,7
JS03,87843.0,7791,Judicial Asst 2,State Trial Courts,Fulltime,Protective service workers,F,White,1973,2017-05-30,Y,Rutherford,2024,51,50-54,2017,7
NS,276162.35,1080,Chief Medical Dir,Health,Fulltime,Officials and administrators,M,White,1959,2017-05-30,Y,Davidson,2024,65,65-69,2017,7
ST09,29430.78,10119,Office Support Mgr,Justice Integration Services,Parttime,Administrative support,F,White,1983,2017-05-31,N,Sumner,2024,41,40-44,2017,7
NS,32757.3,7791,Judicial Asst 2,State Trial Courts,Parttime,Protective service workers,M,White,1968,2017-06-01,Y,Davidson,2024,56,55-59,2017,7
TG12,54118.08,10838,Equipment Operator Senior,Water Services,Fulltime,Service/Maintenance,M,Black,1968,2017-06-01,N,Davidson,2024,56,55-59,2017,7
NS,2600.0,7198,Hrng Off-Tax Assess Reassessmt,Assessor of Property,Seasonal,Officials and administrators,F,White,1964,2017-06-01,N,Davidson,2024,60,60-64,2017,7
OR06,78561.6,10132,Pub Info Coord,NDOT,Fulltime,Professionals,F,Hispanic,1994,2017-06-01,N,Wilson,2024,30,30-34,2017,7
AG05,49349.63,1967,Extension Director,Agricultural Extension,Fulltime,Professionals,F,Black,1994,2017-06-01,N,Davidson,2024,30,30-34,2017,7
OR01,57400.97,10904,Nutrition Educator,Health,Fulltime,Professionals,F,Black,1986,2017-06-03,N,Davidson,2024,38,35-39,2017,7
OR07,83234.68,10760,Public Health Nurse 3,Health,Fulltime,Professionals,F,White,1992,2017-06-03,Y,Davidson,2024,32,30-34,2017,7
OR06,88360.89,5300,Library Mgr 2,Public Library,Fulltime,Professionals,F,White,1980,2017-06-05,Y,Davidson,2024,44,40-44,2017,7
OR11,156368.16,7318,Info Systems Div Mgr,Information Technology Services,Fulltime,Officials and administrators,M,White,1978,2017-06-05,Y,Sumner,2024,46,45-49,2017,7
ST08,52433.92,10850,Recreation Leader - Senior,Parks,Fulltime,Paraprofessionals,F,Black,1993,2017-06-09,N,Davidson,2024,31,30-34,2017,7
CA04,56659.2,10690,Security & Parking Supv-MCC,Convention Center Authority,Fulltime,Paraprofessionals,F,Black,1969,2017-06-14,N,Davidson,2024,55,55-59,2017,7
ST10,63158.39,10955,Utility Compliance Inp 2,Water Services,Fulltime,Technicians,M,Black,1963,2017-06-16,N,Davidson,2024,61,60-64,2017,7
TG13,53017.55,2220,Bldg Maint Mechanic,Police,Fulltime,Skilled craft workers,M,White,1964,2017-06-16,N,Rutherford,2024,60,60-64,2017,7
NS,,9020,Seasonal/Part-time/Temporary,Parks,Pool,Service/Maintenance,F,White,1993,2017-06-16,N,Davidson,2024,31,30-34,2017,7
OR03,67933.77,7244,Admin Svcs Officer 3,Beer Board,Fulltime,Professionals,M,White,1983,2017-06-19,N,Montgomery,2024,41,40-44,2017,7
DP01,164300.0,6907,Beer Permit Board-Exec Dir,Beer Board,Fulltime,Officials and administrators,M,White,1980,2017-06-19,Y,Williamson,2024,44,40-44,2017,7
OR05,67425.5,7793,Library Mgr 1,Public Library,Fulltime,Professionals,F,Black,1987,2017-06-19,Y,Davidson,2024,37,35-39,2017,7
ST07,48081.9,10123,Office Support Spec 1,District Attorney,Fulltime,Administrative support,M,Black,1983,2017-06-25,N,Dickson,2024,41,40-44,2017,7
ST08,50891.79,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,F,Black,1991,2017-06-26,N,Wilson,2024,33,30-34,2017,7
ST07,50910.18,7711,Sheriff Prisoner Processor 1,Sheriff,Fulltime,Administrative support,M,White,1964,2017-06-26,N,Rutherford,2024,60,60-64,2017,7
CO03,63413.67,6690,Correctional Officer Sergeant,Sheriff,Fulltime,Protective service workers,M,White,1994,2017-06-26,N,Davidson,2024,30,30-34,2017,7
CA01,43076.8,10674,Set Up Staff-Convention Ctr,Convention Center Authority,Fulltime,Technicians,M,White,1977,2017-06-26,N,Rutherford,2024,47,45-49,2017,7
CO02,68730.34,6981,Correctional Officer 2,Sheriff,Fulltime,Protective service workers,F,White,1987,2017-06-26,N,Robertson,2024,37,35-39,2017,7
ST09,60543.28,10749,App Support Tech 1-DCSO,Sheriff,Fulltime,Administrative support,M,Asian,1988,2017-06-26,N,Rutherford,2024,36,35-39,2017,7
ST09,57179.85,11277,Order of Protection Coordinator,Sheriff,Fulltime,Professionals,F,Black,1986,2017-06-26,N,Davidson,2024,38,35-39,2017,7
PS03A,72322.38,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1991,2017-07-01,N,Sumner,2024,33,30-34,2017,7
PS03,70215.9,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1986,2017-07-01,N,Wilson,2024,38,35-39,2017,7
PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1995,2017-07-01,N,Sumner,2024,29,25-29,2017,7
PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1994,2017-07-01,N,Williamson,2024,30,30-34,2017,7
PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,F,White,1993,2017-07-01,N,Sumner,2024,31,30-34,2017,7
PS03A,72322.38,7356,Police Officer 2,Police,Fulltime,Protective service workers,F,White,1992,2017-07-01,N,Maury,2024,32,30-34,2017,7
PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1988,2017-07-01,N,Robertson,2024,36,35-39,2017,7
PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1993,2017-07-01,N,Davidson,2024,31,30-34,2017,7
PS03A,72322.38,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1995,2017-07-01,N,Robertson,2024,29,25-29,2017,7
PS05B,92097.38,7366,Police Sergeant,Police,Fulltime,Technicians,F,White,1993,2017-07-01,N,Davidson,2024,31,30-34,2017,7
OR11,114714.73,10887,Information Systems Advisor 3,Justice Integration Services,Fulltime,Officials and administrators,M,White,1964,2017-07-01,Y,Davidson,2024,60,60-64,2017,7
PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,F,White,1995,2017-07-01,N,Davidson,2024,29,25-29,2017,7
TG15,59094.79,10840,Fire Maintenance Worker,Fire,Fulltime,Skilled craft workers,M,Islander,1973,2017-07-01,N,Sumner,2024,51,50-54,2017,7
PS05,84353.7,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1991,2017-07-01,N,Sumner,2024,33,30-34,2017,7
PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1992,2017-07-01,N,Wilson,2024,32,30-34,2017,7
PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1992,2017-07-01,N,Sumner,2024,32,30-34,2017,7
PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1991,2017-07-01,N,Sumner,2024,33,30-34,2017,7
PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1994,2017-07-01,N,Robertson,2024,30,30-34,2017,7
